,date,open,close,high,low,volume,sema,lema,dif,dea,macd
0,2015-08-26,3.58,3.886,3.919,3.567,1865446.0,3.886,3.886,0.0,0.0,0.0
1,2015-08-27,3.986,3.986,4.045,3.647,2548526.0,3.940166666666667,3.937923076923077,0.0022435897435899577,0.0012152777777778936,0.002056623931624128
2,2015-08-28,4.085,4.384,4.384,4.049,1362804.0,4.1133949191685915,4.098194184327255,0.015200734841336327,0.0066738048995824565,0.017053859883507744
3,2015-08-31,4.467,4.334,4.703,4.285,2671886.0,4.18303132183908,4.164115185774344,0.0189161360647363,0.010538230412490933,0.016755811304490734
4,2015-09-01,4.165,3.903,4.245,3.903,1661770.0,4.10694781252081,4.10356149719786,0.003386315322949862,0.008595080643440195,-0.010417530640980666
5,2015-09-02,3.567,3.524,3.979,3.514,1425880.0,3.9652608253077983,3.9874799517258057,-0.022219126418007384,0.0011056071980988962,-0.04664946723221256
6,2015-09-07,3.644,3.836,3.876,3.637,1705783.0,3.9364167243894816,3.960540027562625,-0.024123303173143373,-0.00452413588202189,-0.039198334582242964
7,2015-09-08,3.687,4.029,4.112,3.584,1408189.0,3.9557374270135424,3.971570625445785,-0.015833198432242845,-0.006884162928471564,-0.017898071007542565
8,2015-09-09,4.016,4.158,4.301,3.952,1679663.0,3.995752163076785,3.999203551427041,-0.003451388350256046,-0.006205037934243894,0.005507299167975696
9,2015-09-10,4.022,4.092,4.248,3.996,1227819.0,4.013991090767552,4.012008558171238,0.0019825325963136464,-0.004653496500756674,0.01327205819414064
10,2015-09-11,4.089,4.248,4.311,4.069,1221825.0,4.056809078803759,4.042616722938624,0.01419235586513512,-0.0012051599233944149,0.03079503157705907
11,2015-09-14,4.334,3.823,4.481,3.823,1714292.0,4.015238592154824,4.015633348154145,-0.0003947559993209282,-0.0010610727661364287,0.001332633533631001
12,2015-09-15,3.72,3.607,3.893,3.537,1007820.0,3.94435286378368,3.9677620251245385,-0.023409161340858464,-0.004941549935039698,-0.03693522281163753
13,2015-09-16,3.693,3.969,3.969,3.67,934300.0,3.948549484142426,3.9679010644359023,-0.019351580293476278,-0.0073951180186336025,-0.02391292454968535
14,2015-09-17,4.278,4.251,4.368,4.162,1318208.0,3.999215123320709,3.9985254346338888,0.0006896886868204,-0.006040774488409343,0.013460926350459486
15,2015-09-18,4.411,4.351,4.544,4.208,1955225.0,4.057350347859134,4.035397169680621,0.021953178178512722,-0.0014145530903439093,0.04673546253771326
16,2015-09-21,4.318,4.783,4.786,4.185,2003132.0,4.175916627841632,4.1112853856757505,0.06463124216588145,0.009376886316969717,0.11050871169782348
17,2015-09-22,4.65,4.587,4.783,4.554,1737809.0,4.242449690344806,4.158285150861823,0.08416453948298308,0.021481125844914333,0.1253668272761375
18,2015-09-23,4.487,4.776,4.976,4.387,6935607.0,4.328118278544912,4.217841800585789,0.11027647795912365,0.03573839890182928,0.14907615811458874
19,2015-09-24,4.696,4.597,4.796,4.497,4120376.0,4.371002749457665,4.25359930068185,0.11740344877581421,0.04876331720775561,0.1372802631361172
20,2015-09-25,4.587,4.258,4.666,4.198,3076307.0,4.353080903384415,4.254006089307703,0.0990748140767117,0.056742546978072045,0.08466453419727932
21,2015-09-28,4.258,4.337,4.387,4.218,1746903.0,4.35054258561745,4.261539482572907,0.08900310304454351,0.06183476976420275,0.05433666656068152
22,2015-09-29,4.258,4.098,4.278,4.058,2032633.0,4.3108384071601105,4.246938712525238,0.06389969463487244,0.062159412617468934,0.00348056403480701
23,2015-09-30,4.098,4.068,4.178,4.028,1334599.0,4.272788188036447,4.231202384592265,0.041585803444181835,0.05893574488565067,-0.03469988288293767
24,2015-10-08,4.238,4.258,4.337,4.108,2328111.0,4.270477604522707,4.233526799307914,0.03695080521479266,0.055500703416820965,-0.03709979640405661
25,2015-10-09,4.218,4.308,4.427,4.168,2348438.0,4.276326267744724,4.239905782466913,0.03642048527781139,0.0525266456926755,-0.03221232082972822
26,2015-10-12,4.288,4.587,4.736,4.258,4417841.0,4.32465350717423,4.26929569487252,0.05535781230171022,0.05296705134134882,0.0047815219207228005
27,2015-10-13,4.507,4.567,4.637,4.457,2799765.0,4.362287659900261,4.294239154878818,0.06804850502144255,0.05530906060465287,0.025478888833579363
28,2015-10-14,4.537,4.387,4.577,4.377,2529126.0,4.366119720578154,4.301936461405134,0.06418325917301981,0.056685153165875364,0.014996212014288898
29,2015-10-15,4.367,4.507,4.567,4.317,2602224.0,4.387938927564614,4.318802450122443,0.06913647744217055,0.058613585042607504,0.021045784799126097
