,date,open,close,high,low,sema,lema,dif,dea,macd
42,2016-03-09,3.111,3.111,3.141,3.081,3.136106360170426,3.1488760464187924,-0.01,-0.03,0.039999999999999994
43,2016-03-10,3.091,3.121,3.181,3.091,3.1337808109467726,3.1467388437406987,-0.01,-0.02,0.02
44,2016-03-11,3.091,3.141,3.151,3.081,3.1348920594084513,3.1462999960362374,-0.01,-0.02,0.02
45,2016-03-14,3.171,3.241,3.271,3.161,3.151223869062324,3.153524370719985,-0.0,-0.02,0.04
46,2016-03-15,3.241,3.34,3.36,3.221,3.1802776570685407,3.1677186180125845,0.01,-0.01,0.04
47,2016-03-16,3.29,3.32,3.42,3.29,3.201780482628096,3.1792864005015784,0.02,-0.0,0.04
48,2016-03-17,3.32,3.38,3.4,3.32,3.22920651144459,3.194504500616482,0.03,0.0,0.06
49,2016-03-18,3.39,3.41,3.43,3.37,3.257027453311961,3.2108148876910865,0.05,0.01,0.08
50,2016-03-21,3.42,3.639,3.749,3.42,3.3158041857259106,3.2431710753361487,0.07,0.02,0.1
51,2016-03-22,3.629,3.55,3.629,3.52,3.3518403938108507,3.2663223377226713,0.09,0.04,0.09999999999999999
52,2016-03-23,3.52,3.61,3.769,3.51,3.391562929808664,3.2922182429263307,0.1,0.05,0.1
53,2016-03-24,3.58,3.5,3.629,3.5,3.408247572411416,3.307854532040578,0.1,0.06,0.08000000000000002
54,2016-03-25,3.5,3.57,3.649,3.49,3.433135106314474,3.327558638578755,0.11,0.07,0.07999999999999999
55,2016-03-28,3.59,3.53,3.6,3.51,3.448038687245499,3.3427585204509427,0.11,0.08,0.06
56,2016-03-29,3.54,3.47,3.56,3.41,3.4514175981399347,3.3523025499462413,0.1,0.08,0.04000000000000001
57,2016-03-30,3.48,3.53,3.55,3.48,3.4635079474577233,3.3656187155507613,0.1,0.08,0.04000000000000001
58,2016-03-31,3.53,3.5,3.55,3.48,3.469122403706332,3.3756801997808874,0.09,0.09,0.0
59,2016-04-01,3.49,3.49,3.54,3.41,3.472334484075194,3.38423279733716,0.09,0.09,0.0
60,2016-04-05,3.49,3.58,3.669,3.48,3.488899031313549,3.3988678995118526,0.09,0.09,0.0
61,2016-04-06,3.59,3.6,3.659,3.56,3.505992030880887,3.413893797194712,0.09,0.09,0.0
62,2016-04-07,3.6,3.54,3.659,3.53,3.511224166730519,3.4233088089432058,0.09,0.09,0.0
63,2016-04-08,3.52,3.56,3.58,3.5,3.5187283117108987,3.4335081196374224,0.09,0.09,0.0
64,2016-04-11,3.58,3.729,3.849,3.58,3.5510784246353335,3.4555445212288936,0.1,0.09,0.020000000000000018
65,2016-04-12,3.709,3.669,3.759,3.659,3.5692205008147333,3.47145505681032,0.1,0.09,0.020000000000000018
66,2016-04-13,3.689,3.689,3.799,3.679,3.587648369925906,3.487662894159631,0.1,0.09,0.020000000000000018
67,2016-04-14,3.719,3.779,3.789,3.679,3.6170874253906535,3.509359183603448,0.11,0.1,0.01999999999999999
68,2016-04-15,3.809,3.829,3.939,3.769,3.6496896814982387,3.5331538358783137,0.12,0.1,0.03999999999999998
69,2016-04-18,3.819,3.799,3.929,3.729,3.672660691434256,3.5529366394087525,0.12,0.1,0.03999999999999998
70,2016-04-19,3.829,3.809,3.899,3.789,3.6936361177950467,3.5719849765924434,0.12,0.11,0.01999999999999999
71,2016-04-20,3.819,3.719,3.839,3.55,3.697538276835041,3.582917855301034,0.11,0.11,0.0
72,2016-04-21,3.689,3.53,3.719,3.52,3.671763027004025,3.578983728048972,0.09,0.11,-0.04000000000000001
73,2016-04-22,3.54,3.48,3.629,3.41,3.642260896636583,3.5716268637396165,0.07,0.1,-0.06
74,2016-04-25,3.48,3.44,3.53,3.39,3.611143722973634,3.561846275965533,0.05,0.09,-0.07999999999999999
75,2016-04-26,3.45,3.45,3.47,3.41,3.586352305041175,3.5535374149494183,0.03,0.08,-0.1
